Índice;Release Date;Movie;Production Budget;Domestic Gross;Worldwide Gross
346;10/16/2009;Where the Wild Things Are;$100.000.000;$77.233.467;$99.123.656
347;12/15/2006;Eragon;$100.000.000;$75.030.163;$249.488.115
348;7/25/2014;Hercules;$100.000.000;$72.688.614;$243.388.614
349;12/10/2010;The Tourist;$100.000.000;$67.631.157;$278.731.369
350;11/24/1999;End of Days;$100.000.000;$66.889.043;$212.026.975
351;6/11/2004;The Stepford Wives;$100.000.000;$59.475.623;$96.221.971
352;6/8/2007;Surf's Up;$100.000.000;$58.867.694;$145.395.745
353;12/8/2006;Blood Diamond;$100.000.000;$57.377.916;$171.377.916
354;9/24/2010;Legend of the Guardians: The Owls of Ga'Hoole;$100.000.000;$55.675.313;$139.716.717
355;11/7/1997;Starship Troopers;$100.000.000;$54.768.952;$121.100.000
356;6/5/2009;Land of the Lost;$100.000.000;$49.438.370;$69.548.641
357;12/25/2003;Peter Pan;$100.000.000;$48.417.850;$95.255.485
358;7/23/2004;Catwoman;$100.000.000;$40.202.379;$82.145.379
359;8/15/2014;The Expendables 3;$100.000.000;$39.322.544;$209.461.378
360;11/27/2002;Treasure Planet;$100.000.000;$38.120.554;$91.800.000
361;3/12/2010;Green Zone;$100.000.000;$35.497.337;$97.523.020
362;12/25/2015;Point Break;$100.000.000;$28.782.481;$128.131.571
363;10/20/2017;Geostorm;$100.000.000;$28.770.341;$141.936.671
364;12/11/2015;In the Heart of the Sea;$100.000.000;$25.020.758;$90.420.758
365;4/18/2014;Transcendence;$100.000.000;$23.022.309;$103.039.258
366;2/18/2005;Son of the Mask;$100.000.000;$17.018.422;$59.918.422
367;8/16/2002;The Adventures of Pluto Nash;$100.000.000;$4.411.102;$7.094.995
368;1/20/2012;Jin líng shí san chai;$100.000.000;$311.434;$98.227.017
369;3/15/2019;Amusement Park;$100.000.000;$0;$0
370;11/6/2015;The Peanuts Movie;$99.000.000;$130.178.411;$250.474.038
371;5/4/2001;The Mummy Returns;$98.000.000;$202.007.640;$435.040.395
372;12/20/2002;Gangs of New York;$97.000.000;$77.730.500;$183.124.621
373;5/19/2017;Alien: Covenant;$97.000.000;$74.262.031;$238.862.031
374;3/13/2015;Cinderella;$95.000.000;$201.151.353;$534.551.353
375;7/13/2012;Ice Age: Continental Drift;$95.000.000;$161.321.843;$879.765.137
376;12/28/2001;Black Hawk Down;$95.000.000;$108.638.745;$159.691.085
377;5/27/2010;Sex and the City 2;$95.000.000;$95.347.692;$294.680.778
378;2/12/2010;Percy Jackson & the Olympians: The Lightning Thief;$95.000.000;$88.768.303;$223.050.874
379;8/10/2012;The Campaign;$95.000.000;$86.907.746;$104.907.746
380;11/12/2010;Unstoppable;$95.000.000;$81.562.942;$169.511.609
381;5/9/1997;The Fifth Element;$95.000.000;$63.570.862;$263.898.761
382;3/31/2000;The Road to El Dorado;$95.000.000;$50.802.661;$65.700.000
383;12/11/2009;The Lovely Bones;$95.000.000;$44.114.232;$94.894.448
384;8/19/2016;Ben,Hur;$95.000.000;$26.410.477;$88.725.100
385;2/6/2015;Seventh Son;$95.000.000;$17.223.265;$110.623.265
386;5/30/2003;Finding Nemo;$94.000.000;$380.529.370;$936.429.370
387;12/17/2003;The Lord of the Rings: The Return of the King;$94.000.000;$377.845.905;$1.141.403.341
388;12/18/2002;The Lord of the Rings: The Two Towers;$94.000.000;$342.548.984;$934.699.645
389;6/15/2001;Lara Croft: Tomb Raider;$94.000.000;$131.144.183;$273.330.185
390;2/13/2015;Kingsman: The Secret Service;$94.000.000;$128.261.724;$404.561.724
391;7/18/2001;Jurassic Park III;$93.000.000;$181.166.115;$365.900.000
392;8/5/2011;Rise of the Planet of the Apes;$93.000.000;$176.760.185;$482.860.185
393;2/14/2008;The Spiderwick Chronicles;$92.500.000;$71.195.053;$162.839.667
394;11/5/2004;The Incredibles;$92.000.000;$261.441.092;$614.726.752
395;2/14/2013;A Good Day to Die Hard;$92.000.000;$67.349.198;$304.249.198
396;4/9/2004;The Alamo;$92.000.000;$22.406.362;$23.911.362
397;12/22/1995;Cutthroat Island;$92.000.000;$10.017.322;$18.517.322
398;12/25/2013;The Secret Life of Walter Mitty;$91.000.000;$58.236.838;$188.536.838
399;7/1/1997;Men in Black;$90.000.000;$250.690.539;$587.790.539
400;11/19/1999;Toy Story 2;$90.000.000;$245.852.179;$511.358.276
401;8/3/2001;Rush Hour 2;$90.000.000;$226.164.286;$347.425.832
402;12/25/2009;Sherlock Holmes;$90.000.000;$209.028.679;$498.438.212
403;7/1/2009;Ice Age: Dawn of the Dinosaurs;$90.000.000;$196.573.705;$859.701.857
404;7/21/2000;What Lies Beneath;$90.000.000;$155.464.351;$288.693.989
405;4/15/2011;Rio;$90.000.000;$143.619.809;$487.519.809
406;10/6/2006;The Departed;$90.000.000;$132.384.315;$289.660.619
407;11/3/2000;Charlie's Angels;$90.000.000;$125.305.545;$259.736.090
408;6/19/1998;Mulan;$90.000.000;$120.620.254;$303.500.000
409;8/13/2008;Tropic Thunder;$90.000.000;$110.461.307;$191.091.250
410;12/20/2011;The Girl with the Dragon Tattoo;$90.000.000;$102.515.793;$239.373.970
411;7/11/1997;Contact;$90.000.000;$100.920.329;$165.900.000
412;6/6/2008;You Don't Mess With the Zohan;$90.000.000;$100.018.837;$202.910.991
413;5/19/1995;Die Hard: With a Vengeance;$90.000.000;$100.012.499;$366.101.666
414;9/23/2016;The Magnificent Seven;$90.000.000;$93.427.848;$159.762.983
415;12/18/2015;Alvin and the Chipmunks: The Road Chip;$90.000.000;$85.886.987;$249.520.430
416;6/8/2001;Atlantis: The Lost Empire;$90.000.000;$84.052.762;$186.049.020
417;12/25/2008;Valkyrie;$90.000.000;$83.077.762;$203.902.107
418;7/24/2015;Pixels;$90.000.000;$78.747.585;$244.126.300
419;6/29/2001;Artificial Intelligence: AI;$90.000.000;$78.616.689;$235.900.000
420;11/26/2003;The Haunted Mansion;$90.000.000;$75.817.994;$155.750.628
421;8/4/2000;Hollow Man;$90.000.000;$73.209.340;$191.200.000
422;4/22/2005;The Interpreter;$90.000.000;$72.708.161;$162.753.837
423;8/7/2013;Percy Jackson: Sea of Monsters;$90.000.000;$68.559.554;$200.859.554
424;7/25/2003;Lara Croft: Tomb Raider: The Cradle of Life;$90.000.000;$65.653.758;$157.092.943
425;6/10/2016;Now You See Me 2;$90.000.000;$65.075.540;$328.675.540
426;11/21/2001;Spy Game;$90.000.000;$62.362.560;$143.049.560
427;4/4/1997;The Saint;$90.000.000;$61.363.304;$169.400.000
428;3/10/2000;Mission to Mars;$90.000.000;$60.874.615;$106.000.000
429;12/17/1999;Bicentennial Man;$90.000.000;$58.220.776;$87.420.776
430;7/7/2004;King Arthur;$90.000.000;$51.877.963;$203.877.963
431;4/25/1997;Volcano;$90.000.000;$47.546.796;$120.100.000
432;3/26/1997;The Devil's Own;$90.000.000;$42.885.593;$140.900.000
433;7/19/2002;K,19: The Widowmaker;$90.000.000;$35.168.966;$65.716.126
434;8/19/2011;Conan the Barbarian;$90.000.000;$21.295.021;$63.356.133
435;10/21/2011;The Three Musketeers;$90.000.000;$20.377.913;$139.877.913
436;4/21/2017;The Promise;$90.000.000;$8.224.288;$10.524.093
437;11/24/2010;The Nutcracker in 3D;$90.000.000;$195.459;$20.466.016
438;5/10/1996;Twister;$88.000.000;$241.688.385;$495.700.000
439;6/3/2005;Cinderella Man;$88.000.000;$61.649.911;$105.021.488
440;7/8/2005;Fantastic Four;$87.500.000;$154.696.080;$333.132.750
441;2/9/2001;Hannibal;$87.000.000;$165.092.266;$350.100.280
442;7/25/2003;Seabiscuit;$86.000.000;$120.277.854;$148.715.342
443;12/22/2000;Cast Away;$85.000.000;$233.632.142;$427.230.516
444;11/17/2006;Happy Feet;$85.000.000;$198.000.317;$385.000.317
445;12/7/2001;Ocean's Eleven;$85.000.000;$183.417.150;$450.728.529
446;7/23/2004;The Bourne Supremacy;$85.000.000;$176.087.450;$288.587.450
447;7/25/1997;Air Force One;$85.000.000;$172.956.409;$315.268.353
448;4/3/2009;Fast & Furious;$85.000.000;$155.064.265;$363.064.265
449;3/14/2008;Horton Hears a Who;$85.000.000;$154.529.439;$299.477.886
450;3/21/2014;Divergent;$85.000.000;$150.947.895;$276.014.965
451;9/28/2012;Hotel Transylvania;$85.000.000;$148.313.048;$378.505.812
452;11/21/2007;Enchanted;$85.000.000;$127.706.877;$340.384.141
453;2/10/2012;Safe House;$85.000.000;$126.181.630;$208.542.162
454;7/20/2007;I Now Pronounce You Chuck and Larry;$85.000.000;$119.725.280;$185.708.462
455;6/8/2007;Ocean's Thirteen;$85.000.000;$117.144.465;$311.744.465
456;12/25/2009;It’s Complicated;$85.000.000;$112.735.375;$224.614.744
457;11/20/1998;Enemy of the State;$85.000.000;$111.549.836;$250.649.836
458;9/29/2006;Open Season;$85.000.000;$85.105.259;$191.932.158
459;11/4/2011;Tower Heist;$85.000.000;$78.046.570;$150.422.946
460;11/22/2000;102 Dalmatians;$85.000.000;$66.941.559;$66.941.559
461;3/30/2012;Mirror Mirror;$85.000.000;$64.935.167;$173.613.482
462;12/8/2006;The Holiday;$85.000.000;$63.280.000;$205.190.324
463;6/16/2006;The Fast and the Furious: Tokyo Drift;$85.000.000;$62.615.510;$157.794.205
464;12/9/2005;Memoirs of a Geisha;$85.000.000;$57.010.853;$161.510.853
465;3/16/2001;Enemy at the Gates;$85.000.000;$51.396.781;$96.971.293
466;6/18/1993;Last Action Hero;$85.000.000;$50.016.394;$137.298.489
467;9/26/2003;The Rundown;$85.000.000;$47.641.743;$80.831.893
468;11/23/2011;Arthur Christmas;$85.000.000;$46.462.469;$149.717.124
469;1/20/2017;xXx: Return of Xander Cage;$85.000.000;$44.898.413;$345.114.933
470;11/13/1998;Meet Joe Black;$85.000.000;$44.650.003;$44.650.003
471;7/30/2010;Cats & Dogs: The Revenge of Kitty Galore;$85.000.000;$43.585.753;$113.026.383
472;2/8/2002;Collateral Damage;$85.000.000;$40.048.332;$78.353.508
473;3/15/2002;Showtime;$85.000.000;$37.948.765;$78.948.765
474;6/30/1995;Judge Dredd;$85.000.000;$34.687.912;$113.487.912
475;3/2/2007;Zodiac;$85.000.000;$33.080.084;$83.080.084
476;8/13/2010;Scott Pilgrim vs. The World;$85.000.000;$31.611.316;$48.056.764
477;3/28/2003;The Core;$85.000.000;$31.111.260;$74.132.631
478;5/9/1997;Father's Day;$85.000.000;$28.681.080;$35.681.080
479;6/14/2002;Scooby,Doo;$84.000.000;$153.294.164;$276.294.164
480;7/28/2000;Nutty Professor II: The Klumps;$84.000.000;$123.307.945;$166.307.945
481;7/19/2013;RED 2;$84.000.000;$53.262.560;$137.162.560
482;6/23/2006;Click;$82.500.000;$137.355.633;$237.685.089
483;12/15/2006;Charlotte's Web;$82.500.000;$82.985.708;$143.985.708
484;2/14/2008;Jumper;$82.500.000;$80.172.128;$222.640.812
485;7/11/2008;Hellboy II: The Golden Army;$82.500.000;$75.986.503;$160.388.063
486;5/27/2005;The Longest Yard;$82.000.000;$158.119.460;$190.320.568
487;8/13/2010;The Expendables;$82.000.000;$103.068.524;$268.268.174
488;11/17/2000;The 6th Day;$82.000.000;$34.543.701;$96.024.898
489;5/23/2003;Bruce Almighty;$81.000.000;$242.704.995;$484.468.608
490;3/23/2012;The Hunger Games;$80.000.000;$408.010.692;$677.923.379
491;5/26/2011;The Hangover Part II;$80.000.000;$254.464.305;$586.464.305
492;5/21/1996;Mission: Impossible;$80.000.000;$180.981.886;$457.697.994
493;2/10/2017;The Lego Batman Movie;$80.000.000;$175.750.384;$310.940.997
494;9/25/2015;Hotel Transylvania 2;$80.000.000;$169.700.110;$470.751.398
495;6/18/1992;Batman Returns;$80.000.000;$162.833.635;$266.824.291
496;5/7/1999;The Mummy;$80.000.000;$155.385.488;$416.385.488
497;5/19/2006;Over the Hedge;$80.000.000;$155.019.340;$343.397.247
498;6/21/2002;Lilo & Stitch;$80.000.000;$145.771.527;$245.800.000
499;5/8/1998;Deep Impact;$80.000.000;$140.464.664;$349.464.664
500;7/12/2013;Grown Ups 2;$80.000.000;$133.668.525;$247.023.808
501;12/16/2011;Alvin and the Chipmunks: Chipwrecked;$80.000.000;$133.107.389;$349.088.523
502;6/20/2008;Get Smart;$80.000.000;$130.319.208;$226.739.416
503;3/11/2005;Robots;$80.000.000;$128.200.012;$260.700.012
504;2/19/2010;Shutter Island;$80.000.000;$128.012.934;$299.461.782
505;12/12/2003;Something's Gotta Give;$80.000.000;$124.685.242;$266.685.242
506;11/26/2008;Four Christmases;$80.000.000;$120.146.040;$168.311.558
507;6/27/1997;Face/Off;$80.000.000;$112.276.146;$241.200.000
508;12/25/2008;Bedtime Stories;$80.000.000;$110.101.975;$221.468.935
509;7/12/2002;Road to Perdition;$80.000.000;$104.054.514;$183.354.514
510;2/11/2011;Just Go With It;$80.000.000;$103.028.109;$214.974.953
511;2/14/2003;Daredevil;$80.000.000;$102.543.518;$182.782.518
512;9/26/2008;Eagle Eye;$80.000.000;$101.440.743;$178.066.569
513;6/6/1997;Con Air;$80.000.000;$101.117.573;$224.117.573
514;12/17/2010;Yogi Bear;$80.000.000;$100.246.011;$204.774.690
515;12/25/2003;Cold Mountain;$80.000.000;$95.632.614;$165.173.909
516;1/15/2010;The Book of Eli;$80.000.000;$94.835.059;$158.750.817
517;11/26/1997;Flubber;$80.000.000;$92.993.801;$177.993.801
518;7/23/1999;The Haunting;$80.000.000;$91.188.905;$180.188.905
519;11/15/1996;Space Jam;$80.000.000;$90.463.534;$250.200.000
520;10/17/2014;Fury;$80.000.000;$85.755.593;$210.253.368
521;2/10/2006;The Pink Panther;$80.000.000;$82.226.474;$158.926.474
522;7/8/2011;Zookeeper;$80.000.000;$80.360.866;$170.805.525
523;12/12/2008;The Day the Earth Stood Still;$80.000.000;$79.366.978;$233.066.978
524;8/8/1997;Conspiracy Theory;$80.000.000;$76.118.990;$142.783.718
525;6/12/1998;Six Days, Seven Nights;$80.000.000;$74.339.294;$164.800.000
526;5/24/2002;Spirit: Stallion of the Cimarron;$80.000.000;$73.215.310;$106.515.310
527;6/8/2001;Swordfish;$80.000.000;$69.772.969;$147.080.413
528;4/3/1998;Lost In Space;$80.000.000;$69.117.629;$136.047.317
529;7/30/2004;The Manchurian Candidate;$80.000.000;$65.948.711;$96.148.711
530;11/22/2006;Déjà Vu;$80.000.000;$64.038.616;$181.038.616
531;6/24/2005;Bewitched;$80.000.000;$63.313.159;$131.159.306
532;1/1/2000;Fantasia 2000 (IMAX);$80.000.000;$60.507.228;$60.507.228
533;3/8/2002;The Time Machine;$80.000.000;$56.684.819;$98.983.590
534;10/2/1998;What Dreams May Come;$80.000.000;$55.485.043;$71.485.043
535;12/25/1998;Mighty Joe Young;$80.000.000;$50.632.037;$50.632.037
536;10/28/2005;The Legend of Zorro;$80.000.000;$45.575.336;$141.475.336
537;11/10/2000;Little Nicky;$80.000.000;$39.442.871;$58.270.391
538;9/25/2009;Surrogates;$80.000.000;$38.577.772;$119.668.350
539;6/8/2001;Evolution;$80.000.000;$38.311.134;$98.341.932
540;8/26/2005;The Brothers Grimm;$80.000.000;$37.899.638;$105.299.638
541;12/13/1996;Mars Attacks!;$80.000.000;$37.771.017;$101.371.017
542;4/14/2006;The Wild;$80.000.000;$37.384.046;$99.010.667
543;12/20/2013;Walking with Dinosaurs;$80.000.000;$36.076.121;$130.580.730
544;12/22/2000;Thirteen Days;$80.000.000;$34.566.746;$66.554.547
545;12/6/1996;Daylight;$80.000.000;$32.908.290;$158.908.290
546;10/23/2015;The Last Witch Hunter;$80.000.000;$27.367.660;$131.234.406
547;2/21/2014;Pompeii;$80.000.000;$23.169.033;$108.469.033
548;5/12/2000;Battlefield Earth: A Saga of the Year 3000;$80.000.000;$21.471.685;$29.725.663
549;11/14/2003;Looney Tunes: Back in Action;$80.000.000;$20.950.820;$54.540.662
550;12/18/2009;Nine;$80.000.000;$19.676.965;$53.508.858
551;11/26/2003;Timeline;$80.000.000;$19.480.739;$26.703.184
552;4/22/2010;Oceans;$80.000.000;$19.422.319;$86.787.530
553;11/25/1998;Babe: Pig in the City;$80.000.000;$18.319.860;$69.131.860
554;12/25/1997;The Postman;$80.000.000;$17.650.704;$20.841.123
555;11/10/2000;Red Planet;$80.000.000;$17.480.890;$33.463.969
556;1/12/2007;Arthur et les Minimoys;$80.000.000;$15.132.763;$113.325.743
557;8/17/2007;The Invasion;$80.000.000;$15.074.191;$40.147.042
558;6/16/2000;Fantasia 2000 (Theatrical Release);$80.000.000;$9.103.630;$9.103.630
559;9/2/2005;A Sound of Thunder;$80.000.000;$1.900.451;$6.300.451
560;9/29/2017;Don Gato, el inicio de la pandilla;$80.000.000;$0;$4.582.848
561;6/15/1994;The Lion King;$79.300.000;$422.780.140;$987.480.140
562;2/10/2012;Journey 2: The Mysterious Island;$79.000.000;$103.860.290;$318.146.162
563;11/11/2011;Jack and Jill;$79.000.000;$74.158.157;$150.519.217
564;12/21/2001;A Beautiful Mind;$78.000.000;$170.708.996;$317.668.058
565;9/27/2013;Cloudy with a Chance of Meatballs 2;$78.000.000;$119.793.567;$274.392.649
566;10/4/2002;Red Dragon;$78.000.000;$92.955.420;$206.455.420
567;3/5/2004;Hidalgo;$78.000.000;$67.286.731;$108.086.731
568;7/11/2003;The League of Extraordinary Gentlemen;$78.000.000;$66.465.204;$179.265.204
569;8/20/2004;Exorcist: The Beginning;$78.000.000;$41.814.863;$43.957.541
570;12/31/2012;Astérix et Obélix: Au service de Sa Majesté;$77.600.000;$0;$60.680.125
571;2/12/2016;The Little Prince;$77.500.000;$1.311.213;$103.529.508
572;7/3/2013;Despicable Me 2;$76.000.000;$368.065.385;$975.216.835
573;6/6/2003;2 Fast 2 Furious;$76.000.000;$127.120.058;$236.410.607
574;12/25/2006;Children of Men;$76.000.000;$35.552.383;$69.845.011
575;6/30/2000;The Adventures of Rocky & Bullwinkle;$76.000.000;$26.000.610;$35.129.610
576;7/8/2016;The Secret Life of Pets;$75.000.000;$368.384.330;$875.958.307
577;7/2/1996;Independence Day;$75.000.000;$306.169.255;$817.400.878
578;12/21/2016;Sing;$75.000.000;$270.329.045;$634.330.493
579;6/30/2017;Despicable Me 3;$75.000.000;$263.757.985;$1.028.912.617
580;5/22/1997;The Lost World: Jurassic Park;$75.000.000;$229.086.679;$618.638.999
581;3/31/2006;Ice Age: The Meltdown;$75.000.000;$195.330.621;$651.899.282
582;5/27/2005;Madagascar;$75.000.000;$193.595.521;$556.559.566
583;6/25/2010;Grown Ups;$75.000.000;$162.001.186;$272.223.430
584;10/1/2004;Shark Tale;$75.000.000;$161.412.000;$371.917.043
585;7/14/2000;X,Men;$75.000.000;$157.299.717;$296.872.367
586;6/27/2008;Wanted;$75.000.000;$134.508.551;$342.416.460
587;6/7/1996;The Rock;$75.000.000;$134.069.511;$336.069.511
588;2/13/2004;50 First Dates;$75.000.000;$120.776.832;$196.320.329
589;7/20/2007;Hairspray;$75.000.000;$118.871.849;$203.035.572
590;5/31/2013;Now You See Me;$75.000.000;$117.723.989;$342.769.200
591;12/15/2006;Dreamgirls;$75.000.000;$103.365.956;$155.708.695
592;7/23/1999;Inspector Gadget;$75.000.000;$97.387.965;$97.387.965
593;11/11/2011;Immortals;$75.000.000;$83.504.017;$211.562.435
594;6/18/2004;The Terminal;$75.000.000;$77.073.959;$218.673.959
595;2/18/2005;Constantine;$75.000.000;$75.976.178;$221.594.911
596;7/21/2006;Monster House;$75.000.000;$73.661.010;$141.267.370
597;12/8/2000;Vertical Limit;$75.000.000;$68.473.360;$213.500.000
598;12/21/2007;Charlie Wilson's War;$75.000.000;$66.661.095;$119.512.771
599;4/16/1999;Life;$75.000.000;$64.062.587;$73.521.587
600;3/4/2005;Be Cool;$75.000.000;$55.849.401;$94.944.017
601;12/23/2005;Munich;$75.000.000;$47.379.090;$131.492.772
602;6/4/2010;Killers;$75.000.000;$47.059.963;$95.572.749
603;8/14/2015;The Man From U.N.C.L.E.;$75.000.000;$45.445.109;$105.445.109
604;3/7/2003;Tears of the Sun;$75.000.000;$43.632.458;$85.632.458
605;7/21/2006;Lady in the Water;$75.000.000;$42.285.169;$72.785.169
606;12/17/2004;Spanglish;$75.000.000;$42.044.321;$54.344.321
607;10/12/2001;Bandits;$75.000.000;$41.523.271;$71.523.271
608;12/17/1999;Anna and the King;$75.000.000;$39.251.128;$39.251.128
609;7/7/1995;First Knight;$75.000.000;$37.361.412;$127.361.412
610;3/25/2011;Sucker Punch;$75.000.000;$36.392.502;$89.758.389
611;3/11/2005;Hostage;$75.000.000;$34.636.443;$77.636.443
612;10/28/2016;Inferno;$75.000.000;$34.355.263;$219.572.877
613;6/13/2003;Hollywood Homicide;$75.000.000;$30.207.785;$50.409.753
614;6/16/2000;Titan A.E.;$75.000.000;$22.751.979;$36.751.979
615;12/17/2004;Flight of the Phoenix;$75.000.000;$21.009.180;$34.009.180
616;10/23/1998;Soldier;$75.000.000;$14.623.082;$14.623.082
617;1/15/1999;Virus;$75.000.000;$14.010.690;$30.626.690
618;2/23/2001;Monkeybone;$75.000.000;$5.409.517;$5.409.517
619;7/10/2015;Minions;$74.000.000;$336.045.770;$1.167.245.366
620;2/6/2015;The SpongeBob Movie: Sponge Out of Water;$74.000.000;$162.994.032;$311.594.032
621;11/22/2000;Unbreakable;$73.243.106;$94.999.143;$248.099.143
622;8/4/2006;Talladega Nights: The Ballad of Ricky Bobby;$73.000.000;$148.213.377;$162.870.525
623;5/20/2016;The Angry Birds Movie;$73.000.000;$107.509.366;$352.829.528
624;8/7/1998;Snake Eyes;$73.000.000;$55.591.409;$103.891.409
625;2/13/1998;Sphere;$73.000.000;$37.068.294;$50.168.294
626;7/27/2007;The Simpsons Movie;$72.500.000;$183.135.014;$527.071.022
627;2/8/2008;Fool's Gold;$72.500.000;$70.231.041;$109.362.966
628;7/31/2009;Funny People;$72.500.000;$51.855.045;$71.880.305
629;9/28/2007;The Kingdom;$72.500.000;$47.467.250;$86.509.602
630;6/22/2001;Doctor Dolittle 2;$72.000.000;$112.950.721;$176.101.721
631;5/24/1995;Braveheart;$72.000.000;$75.545.647;$209.045.522
632;11/4/2005;Jarhead;$72.000.000;$62.647.540;$96.947.540
633;4/27/2001;Driven;$72.000.000;$32.616.869;$54.616.869
634;12/21/2001;The Majestic;$72.000.000;$27.796.042;$37.306.334
635;6/25/2004;Two Brothers;$72.000.000;$19.176.754;$62.176.754
636;7/30/2004;The Village;$71.682.975;$114.197.520;$257.641.634
637;6/26/1998;Doctor Dolittle;$71.500.000;$144.156.605;$294.156.605
638;8/2/2002;Signs;$70.702.619;$227.969.295;$408.269.295
639;5/19/2004;Shrek 2;$70.000.000;$441.226.247;$937.008.132
640;6/9/2006;Cars;$70.000.000;$244.082.982;$461.651.246
